code UIC complet;libellé point d'arrêt;libellé;libellé STIF (info voyageurs);libellé SMS gare;nom gare;adresse;code INSEE commune;commune;X;Y;Guichet adapté PMR;Boucle magnétique;Portes automatiques d'accès au BV;Bandes d'éveil de vigilance ;CAB Passage Elargi Contrôlé (nombre);Nombre d'ascenceurs (1);Escaliers mécaniques (Nbre);Abris à vélos (Nombre) ;Gare non SNCF
87682302;MONTEREAU;MONTEREAU;GARE DE MONTEREAU;;Montereau;Place Pierre Sémard 77130 Montereau-Fault-Yonne;77305; Montereau-Fault-Yonne;644931;2375830;1;1;0;0;Pas de CAB;0;;1;0
87393892;MONTFORT L'AMAURY MERE;MONTFORT L'AMAURY MERE;GARE DE MONTFORT L AMAURY MERE;Montfort l'A;Montfort-l'Amaury-Méré;Place Louis Valtou 78490 Méré;78389; Méré;561705;2422819;0;1;0;0;Pas de CAB;2;;1;0
87682104;MONTGERON CROSNE;MONTGERON CROSNE;GARE DE MONTGERON CROSNE;Montgeron C.;Montgeron-Crosne;Place Joseph Piette;91421; Montgeron;609261;2412174;1;1;1;1;Pas de CAB;0;;1;0
87381160;MONTGEROULT COURCELLES;MONTGEROULT COURCELLES;GARE DE MONTGEROULT COURCELLES;;Montgeroult-Courcelles;Rue du Moulin 95650 Montgeroult;95422; Montgeroult;575636;2453680;0;0;0;0;Pas de CAB;0;;0;0
87276089;MONTIGNY BEAUCHAMP;MONTIGNY BEAUCHAMP;GARE DE MONTIGNY BEAUCHAMP;Montigny B.;Montigny-Beauchamp;Place de la Gare, 95370 Montigny Les Cormeilles;95051; Beauchamp;589841;2445501;0;1;0;1;2;3;;2;0
87684100;MONTIGNY SUR LOING;MONTIGNY SUR LOING;GARE DE MONTIGNY SUR LOING;;Montigny-sur-Loing;Avenue de la gare 77690 Montigny-sur-Loing;77312; Montigny-sur-Loing;629813;2371044;0;1;0;1;Pas de CAB;0;;0;0
87382879;MONTREUIL;MONTREUIL;GARE DE MONTREUIL;Montreuil;Montreuil;Rue de la Bonne Aventure 78000 Versailles;78646; Versailles;586385;2423161;0;1;0;0;1;0;1;1;0
87116400;MONTRY CONDE;MONTRY CONDE;GARE DE MONTRY CONDE;;Montry-Condé;Avenue du Maréchal Foch 77450 Montry;77315; Montry;635932;2432614;0;0;0;0;Pas de CAB;0;;0;0
87276493;MONTSOULT MAFFLIERS;MONTSOULT MAFFLIERS;GARE DE MONTSOULT MAFFLIERS;Montsoult M.;Montsoult-Maffliers;Rue Emile Combres 95560 Montsoult Maffliers;95430; Montsoult;598936;2451983;1;1;0;0;1;0;;1;0
87682278;MORET VENEUX LES SABLONS;MORET VENEUX LES SABLONS;GARE DE MORET VENEUX LES SABLONS;;Moret-Veneux-les-S;Place de la Gare 77250 Veneux-les-Sablons;77491; Veneux-les-Sablons;634308;2375599;1;1;0;0;Pas de CAB;0;;2;0
87116087;MORMANT;MORMANT;GARE DE MORMANT;Mormant;Mormant;Place de la gare 77720 Mormant;77317; Mormant;640790;2401762;0;0;0;0;Pas de CAB;0;;1;0
87116244;MORTCERF;MORTCERF;GARE DE MORTCERF;;Mortcerf;AVENUE DE LA GARE 77163 MORTCERF;77318; Mortcerf;641992;2421365;0;0;0;0;Pas de CAB;0;;0;0
87681403;MOULIN GALANT;MOULIN GALANT;GARE DE MOULIN GALANT;Moulin Gal.;Moulin-Galant;Rue Paul Bert 91100 Corbeil-Essonnes;91174; Corbeil-Essonnes;610106;2398616;0;1;0;0;Pas de CAB;0;;0;0
87116285;MOUROUX;MOUROUX;GARE DE MOUROUX;;Mouroux;Avebue de la gare 77120 Mouroux;77320; Mouroux;651937;2424139;0;0;0;0;Pas de CAB;0;;0;0
87547307;MUSEE D'ORSAY;MUSEE D'ORSAY;MUSEE D ORSAY;M. d'Orsay;Musée d'Orsay;7, Quai Anatole France 75007   Paris ;75107; Paris;599372;2428992;1;1;0;1;1;0;8;0;0
87116095;NANGIS;NANGIS;GARE DE NANGIS;Nangis;Nangis;Place de la gare 77370 Nangis;77327; Nangis;649907;2396078;0;1;0;0;Pas de CAB;0;;1;0
87758029;NANTERRE PREFECTURE;NANTERRE PREFECTURE;GARE DE NANTERRE PREFECTURE;;;;92050; Nanterre;591683;2433045;;;;;;;;;1
87386318;NANTERRE UNIVERSITE;NANTERRE UNIVERSITE;GARE DE NANTERRE UNIVERSITE;Nanterre-U.;Nanterre-Université;33 Boulevard des Provinces Françaises 92000 Nanterre;92050; Nanterre;591099;2433704;0;1;0;1;Pas de CAB;2;2;0;0
87758037;NANTERRE UNIVERSITE;NANTERRE UNIVERSITE;GARE DE NANTERRE UNIVERSITE RER A;;;;92050; Nanterre;591099;2433704;;;;;;;;;1
87758045;NANTERRE VILLE;NANTERRE VILLE;GARE DE NANTERRE VILLE;;;;92050; Nanterre;589673;2433033;;;;;;;;;1
87271577;NANTEUIL LE HAUDOIN;NANTEUIL LE HAUDOIN;GARE DE NANTEUIL LE HAUDOIN;;;;60446; Nanteuil-le-Haudouin;633394;2460571;;;;;;;;;0
87116558;NANTEUIL SAACY;NANTEUIL SAACY;GARE DE NANTEUIL SAACY;Nanteuil S.;Nanteuil-Saâcy;Avenue du Général Leclerc 77730 Saâcy-sur-Marne;77397; Saâcy-sur-Marne;664684;2442118;0;1;0;1;Pas de CAB;0;;0;0
87758102;NATION;NATION;NATION;;;;75112; Paris;604361;2427773;;;;;;;;;1
87684126;NEMOURS SAINT-PIERRE;NEMOURS SAINT-PIERRE;GARE DE NEMOURS ST PIERRE;;Nemours-Saint-Pierre;1 Bis Avenue Carnot 77140 Saint-Pierre-les-Nemours;77431; Saint-Pierre-lès-Nemours;625925;2363266;0;1;0;1;Pas de CAB;0;;1;0
87758318;NEUILLY PLAISANCE;NEUILLY PLAISANCE;GARE DE NEUILLY PLAISANCE;;;;93049; Neuilly-Plaisance;613008;2428364;;;;;;;;;1
87381020;NEUILLY PORTE MAILLOT - Palais des Congrès;NEUILLY PORTE MAILLOT - Palais des Congrès;NEUILLY PORTE MAILLOT;Neuilly P. M;Neuilly-Porte Maillot;82, Avenue de la Grande Armée 75017   Paris ;75117; Paris;595981;2431041;1;1;0;1;2;1;2;0;0
87334482;NEUVILLE UNIVERSITE;NEUVILLE UNIVERSITE;GARE DE NEUVILLE UNIVERSITE;Neuville-U.;Neuville-Université;Accès par l'avenue du boulevard circulaire;95450; Neuville-sur-Oise;581143;2446254;1;1;1;1;2;2;2;1;0
87381731;NEZEL AULNAY;NEZEL AULNAY;GARE DE NEZEL AULNAY;Nezel Aulnay;Nézel-Aulnay;Place de la gare 78410 Nézel;78451; Nézel;563642;2437937; ;0;0;0;Pas de CAB;0;;0;0
87116566;NOGENT L'ARTAUD CHARLY;NOGENT L'ARTAUD CHARLY;GARE DE NOGENT L ARTAUD CHARLY;;;;2555; Nogent-l'artaud;672266;2441630;;;;;;;;;0
87113746;NOGENT LE PERREUX;NOGENT LE PERREUX;GARE DE NOGENT LE PERREUX;Nogent le P.;Nogent-le-Perreux;place du Théâtre 94130 NOGENT-SUR-MARNE;94052; Nogent-sur-Marne;611573;2426718;1;1;1;1;2;2;1;1;0
87758136;NOGENT SUR MARNE;NOGENT SUR MARNE;GARE DE NOGENT SUR MARNE;;;;94052; Nogent-sur-Marne;609948;2426228;;;;;;;;;1
87276758;NOINTEL MOURS;NOINTEL MOURS;GARE DE NOINTEL MOURS;Nointel M.;Nointel-Mours;Rue Jean Saunier 95590 Nointel;95452; Nointel;595940;2459526;1;1;0;1;Pas de CAB;0;;0;0
87758359;NOISIEL;NOISIEL;GARE DE NOISIEL;;;;77337; Noisiel;620552;2427283;;;;;;;;;1
87758342;NOISY CHAMPS;NOISY CHAMPS;GARE DE NOISY CHAMPS;;;;93051; Champs-sur-Marne;617752;2427164;;;;;;;;;1
