route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
959248,100,"53","(OPERA <-> PONT DE LEVALLOIS) - Aller",,3,,FFFFFF,000000
959249,100,"53","(OPERA <-> PONT DE LEVALLOIS) - Retour",,3,,FFFFFF,000000
959810,100,"54","(PORTE D'AUBERVILLIERS <-> GABRIEL PERI-METRO) - Aller",,3,,FFFFFF,000000
959811,100,"54","(PORTE D'AUBERVILLIERS <-> GABRIEL PERI-METRO) - Retour",,3,,FFFFFF,000000
884858,100,"56","(PORTE DE CLIGNANCOURT <-> CHATEAU DE VINCENNES) - Aller",,3,,FFFFFF,000000
884859,100,"56","(PORTE DE CLIGNANCOURT) - Retour",,3,,FFFFFF,000000
959410,100,"57","(PORTE DE BAGNOLET - LOUIS GANNE <-> LAPLACE RER) - Aller",,3,,FFFFFF,000000
959411,100,"57","(PORTE DE BAGNOLET - LOUIS GANNE <-> LAPLACE RER) - Retour",,3,,FFFFFF,000000
959324,100,"58","(VANVES-LYCEE MICHELET <-> CHATELET) - Aller",,3,,FFFFFF,000000
959325,100,"58","(VANVES-LYCEE MICHELET <-> CHATELET) - Retour",,3,,FFFFFF,000000
959246,100,"60","(GAMBETTA <-> PORTE DE MONTMARTRE) - Aller",,3,,FFFFFF,000000
959247,100,"60","(GAMBETTA <-> PORTE DE MONTMARTRE) - Retour",,3,,FFFFFF,000000
959260,100,"61","(GARE D'AUSTERLITZ <-> EGLISE DE PANTIN) - Aller",,3,,FFFFFF,000000
959261,100,"61","(GARE D'AUSTERLITZ <-> EGLISE DE PANTIN) - Retour",,3,,FFFFFF,000000
959612,100,"62","(PORTE DE FRANCE <-> PORTE DE SAINT-CLOUD) - Aller",,3,,FFFFFF,000000
959613,100,"62","(PORTE DE FRANCE <-> PORTE DE SAINT-CLOUD) - Retour",,3,,FFFFFF,000000
959250,100,"63","(GARE DE LYON <-> PORTE DE LA MUETTE) - Aller",,3,,FFFFFF,000000
959251,100,"63","(GARE DE LYON <-> PORTE DE LA MUETTE) - Retour",,3,,FFFFFF,000000
933349,100,"64","(GAMBETTA - MAIRIE DU 20E <-> PLACE D'ITALIE) - Retour",,3,,FFFFFF,000000
933350,100,"64","(GAMBETTA - MARIE DU 20E <-> PLACE D'ITALIE) - Aller",,3,,FFFFFF,000000
959352,100,"65","(GARE DE LYON <-> PORTE DE LA CHAPELLE-METRO) - Aller",,3,,FFFFFF,000000
959353,100,"65","(GARE DE LYON <-> PORTE DE LA CHAPELLE-METRO) - Retour",,3,,FFFFFF,000000
959830,100,"66","(OPERA <-> CLICHY - VICTOR HUGO) - Aller",,3,,FFFFFF,000000
959831,100,"66","(OPERA <-> CLICHY - VICTOR HUGO) - Retour",,3,,FFFFFF,000000
884707,100,"67","(PIGALLE) - Retour",,3,,FFFFFF,000000
884708,100,"67","(HOTEL DE VILLE) - Retour",,3,,FFFFFF,000000
959234,100,"67","(PIGALLE <-> STADE CHARLETY-PORTE DE GENTILLY) - Aller",,3,,FFFFFF,000000
959235,100,"67","(PIGALLE <-> STADE CHARLETY-PORTE DE GENTILLY) - Retour",,3,,FFFFFF,000000
877942,100,"68","(PLACE DE CLICHY <-> CHATILLON METRO) - Aller",,3,,FFFFFF,000000
959912,100,"68","(PLACE DE CLICHY <-> CHATILLON METRO) - Aller",,3,,FFFFFF,000000
959913,100,"68","(PLACE DE CLICHY <-> CHATILLON METRO) - Retour",,3,,FFFFFF,000000
959774,100,"69","(GAMBETTA <-> CHAMPS DE MARS) - Aller",,3,,FFFFFF,000000
959775,100,"69","(GAMBETTA <-> CHAMPS DE MARS) - Retour",,3,,FFFFFF,000000
959570,100,"70","(HOTEL DE VILLE DE PARIS <-> RADIO FRANCE) - Aller",,3,,FFFFFF,000000
959571,100,"70","(HOTEL DE VILLE DE PARIS <-> RADIO FRANCE) - Retour",,3,,FFFFFF,000000
959888,100,"72","(HOTEL DE VILLE DE PARIS <-> PARC DE SAINT CLOUD) - Aller",,3,,FFFFFF,000000
959889,100,"72","(HOTEL DE VILLE DE PARIS <-> PARC DE SAINT CLOUD) - Retour",,3,,FFFFFF,000000
959922,100,"73","(MUSEE D'ORSAY <-> LA GARENNE-COLOMBES - CHARLEBOURG) - Aller",,3,,FFFFFF,000000
959923,100,"73","(MUSEE D'ORSAY <-> LA GARENNE-COLOMBES - CHARLEBOURG) - Retour",,3,,FFFFFF,000000
959832,100,"74","(HOTEL DE VILLE DE PARIS <-> CLICHY - BERGES DE SEINE) - Aller",,3,,FFFFFF,000000
959833,100,"74","(HOTEL DE VILLE DE PARIS <-> CLICHY - BERGES DE SEINE) - Retour",,3,,FFFFFF,000000
959778,100,"75","(PONT NEUF <-> PORTE DE PANTIN) - Aller",,3,,FFFFFF,000000
959779,100,"75","(PONT NEUF <-> PORTE DE PANTIN) - Retour",,3,,FFFFFF,000000
872211,100,"76","(GALLIENI-METRO) - Retour",,3,,FFFFFF,000000
959354,100,"76","(LOUVRE - RIVOLI <-> BAGNOLET-LOUISE MICHEL) - Aller",,3,,FFFFFF,000000
959355,100,"76","(LOUVRE - RIVOLI <-> BAGNOLET-LOUISE MICHEL) - Retour",,3,,FFFFFF,000000
959748,100,"80","(PORTE DE VERSAILLES <-> MAIRIE DU 18E - JULES JOFFRIN) - Aller",,3,,FFFFFF,000000
